Date;Horaire;Distance;
28/09/2021;10:58:08;3.436336;
28/09/2021;10:58:09;3.440325;
28/09/2021;10:58:11;3.445814;
28/09/2021;10:58:12;3.446044;
28/09/2021;10:58:13;3.440879;
28/09/2021;10:58:15;3.448434;
28/09/2021;10:58:16;3.446035;
28/09/2021;10:58:17;3.443394;
28/09/2021;10:58:19;3.442694;
28/09/2021;10:58:20;3.444465;
28/09/2021;10:58:21;3.439085;
28/09/2021;10:58:23;3.440033;
28/09/2021;10:58:24;3.443411;
28/09/2021;10:58:25;3.442247;
28/09/2021;10:58:27;3.444928;
28/09/2021;10:58:28;3.443293;
28/09/2021;10:58:29;3.444448;
28/09/2021;10:58:31;3.44106;
28/09/2021;10:58:32;3.442851;
28/09/2021;10:58:33;3.443913;
28/09/2021;10:58:35;3.439252;
28/09/2021;10:58:36;3.448902;
28/09/2021;10:58:38;3.45173;
28/09/2021;10:58:39;3.450061;
28/09/2021;10:58:40;3.451717;
28/09/2021;10:58:42;3.45108;
28/09/2021;10:58:43;3.446045;
28/09/2021;10:58:44;3.449902;
28/09/2021;10:58:46;3.445983;
28/09/2021;10:58:47;3.447213;
28/09/2021;10:58:48;3.445889;
28/09/2021;10:58:50;3.441689;
28/09/2021;10:58:51;3.449192;
28/09/2021;10:58:52;3.447525;
28/09/2021;10:58:54;3.442686;
28/09/2021;10:58:55;3.446964;
28/09/2021;10:58:57;3.443424;
28/09/2021;10:58:58;3.441742;
28/09/2021;10:58:59;3.44478;
28/09/2021;10:59:01;3.445374;
28/09/2021;10:59:02;3.439105;
28/09/2021;10:59:03;3.451263;
28/09/2021;10:59:05;3.452555;
28/09/2021;10:59:06;3.448019;
28/09/2021;10:59:07;3.44725;
28/09/2021;10:59:09;3.453602;
28/09/2021;10:59:10;3.448866;
28/09/2021;10:59:11;3.447888;
28/09/2021;10:59:13;3.450746;
28/09/2021;10:59:14;3.451383;
28/09/2021;10:59:16;3.445723;
28/09/2021;10:59:17;3.453331;
28/09/2021;10:59:18;3.448748;
28/09/2021;10:59:20;3.448017;
